fid,left,top,right,bottom,id
731,2142.33349609375,-3574599.75,2642.33349609375,-3575099.75,731
734,2142.33349609375,-3576099.75,2642.33349609375,-3576599.75,734
735,2142.33349609375,-3576599.75,2642.33349609375,-3577099.75,735
736,2142.33349609375,-3577099.75,2642.33349609375,-3577599.75,736
786,2642.33349609375,-3553099.75,3142.33349609375,-3553599.75,786
787,2642.33349609375,-3553599.75,3142.33349609375,-3554099.75,787
788,2642.33349609375,-3554099.75,3142.33349609375,-3554599.75,788
789,2642.33349609375,-3554599.75,3142.33349609375,-3555099.75,789
792,2642.33349609375,-3556099.75,3142.33349609375,-3556599.75,792
793,2642.33349609375,-3556599.75,3142.33349609375,-3557099.75,793
796,2642.33349609375,-3558099.75,3142.33349609375,-3558599.75,796
797,2642.33349609375,-3558599.75,3142.33349609375,-3559099.75,797
799,2642.33349609375,-3559599.75,3142.33349609375,-3560099.75,799
806,2642.33349609375,-3563099.75,3142.33349609375,-3563599.75,806
808,2642.33349609375,-3564099.75,3142.33349609375,-3564599.75,808
810,2642.33349609375,-3565099.75,3142.33349609375,-3565599.75,810
813,2642.33349609375,-3566599.75,3142.33349609375,-3567099.75,813
814,2642.33349609375,-3567099.75,3142.33349609375,-3567599.75,814
815,2642.33349609375,-3567599.75,3142.33349609375,-3568099.75,815
816,2642.33349609375,-3568099.75,3142.33349609375,-3568599.75,816
817,2642.33349609375,-3568599.75,3142.33349609375,-3569099.75,817
819,2642.33349609375,-3569599.75,3142.33349609375,-3570099.75,819
821,2642.33349609375,-3570599.75,3142.33349609375,-3571099.75,821
824,2642.33349609375,-3572099.75,3142.33349609375,-3572599.75,824
825,2642.33349609375,-3572599.75,3142.33349609375,-3573099.75,825
827,2642.33349609375,-3573599.75,3142.33349609375,-3574099.75,827
828,2642.33349609375,-3574099.75,3142.33349609375,-3574599.75,828
829,2642.33349609375,-3574599.75,3142.33349609375,-3575099.75,829
830,2642.33349609375,-3575099.75,3142.33349609375,-3575599.75,830
831,2642.33349609375,-3575599.75,3142.33349609375,-3576099.75,831
832,2642.33349609375,-3576099.75,3142.33349609375,-3576599.75,832
838,2642.33349609375,-3579099.75,3142.33349609375,-3579599.75,838
839,2642.33349609375,-3579599.75,3142.33349609375,-3580099.75,839
840,2642.33349609375,-3580099.75,3142.33349609375,-3580599.75,840
841,2642.33349609375,-3580599.75,3142.33349609375,-3581099.75,841
842,2642.33349609375,-3581099.75,3142.33349609375,-3581599.75,842
884,3142.33349609375,-3553099.75,3642.33349609375,-3553599.75,884
887,3142.33349609375,-3554599.75,3642.33349609375,-3555099.75,887
888,3142.33349609375,-3555099.75,3642.33349609375,-3555599.75,888
889,3142.33349609375,-3555599.75,3642.33349609375,-3556099.75,889
890,3142.33349609375,-3556099.75,3642.33349609375,-3556599.75,890
892,3142.33349609375,-3557099.75,3642.33349609375,-3557599.75,892
894,3142.33349609375,-3558099.75,3642.33349609375,-3558599.75,894
895,3142.33349609375,-3558599.75,3642.33349609375,-3559099.75,895
897,3142.33349609375,-3559599.75,3642.33349609375,-3560099.75,897
900,3142.33349609375,-3561099.75,3642.33349609375,-3561599.75,900
903,3142.33349609375,-3562599.75,3642.33349609375,-3563099.75,903
914,3142.33349609375,-3568099.75,3642.33349609375,-3568599.75,914
919,3142.33349609375,-3570599.75,3642.33349609375,-3571099.75,919
920,3142.33349609375,-3571099.75,3642.33349609375,-3571599.75,920
921,3142.33349609375,-3571599.75,3642.33349609375,-3572099.75,921
922,3142.33349609375,-3572099.75,3642.33349609375,-3572599.75,922
926,3142.33349609375,-3574099.75,3642.33349609375,-3574599.75,926
927,3142.33349609375,-3574599.75,3642.33349609375,-3575099.75,927
932,3142.33349609375,-3577099.75,3642.33349609375,-3577599.75,932
940,3142.33349609375,-3581099.75,3642.33349609375,-3581599.75,940
942,3142.33349609375,-3582099.75,3642.33349609375,-3582599.75,942
943,3142.33349609375,-3582599.75,3642.33349609375,-3583099.75,943
984,3642.33349609375,-3554099.75,4142.33349609375,-3554599.75,984
987,3642.33349609375,-3555599.75,4142.33349609375,-3556099.75,987
988,3642.33349609375,-3556099.75,4142.33349609375,-3556599.75,988
995,3642.33349609375,-3559599.75,4142.33349609375,-3560099.75,995
997,3642.33349609375,-3560599.75,4142.33349609375,-3561099.75,997
1000,3642.33349609375,-3562099.75,4142.33349609375,-3562599.75,1000
1003,3642.33349609375,-3563599.75,4142.33349609375,-3564099.75,1003
1004,3642.33349609375,-3564099.75,4142.33349609375,-3564599.75,1004
1005,3642.33349609375,-3564599.75,4142.33349609375,-3565099.75,1005
1007,3642.33349609375,-3565599.75,4142.33349609375,-3566099.75,1007
1008,3642.33349609375,-3566099.75,4142.33349609375,-3566599.75,1008
1013,3642.33349609375,-3568599.75,4142.33349609375,-3569099.75,1013
1014,3642.33349609375,-3569099.75,4142.33349609375,-3569599.75,1014
1015,3642.33349609375,-3569599.75,4142.33349609375,-3570099.75,1015
1017,3642.33349609375,-3570599.75,4142.33349609375,-3571099.75,1017
1018,3642.33349609375,-3571099.75,4142.33349609375,-3571599.75,1018
1020,3642.33349609375,-3572099.75,4142.33349609375,-3572599.75,1020
1024,3642.33349609375,-3574099.75,4142.33349609375,-3574599.75,1024
